ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,A,B1,C1,B2,C2,MinWavelength,MaxWavelength,Wavelength,n,kappa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.3,2.339,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.5,2.451,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.8,2.572,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,2.7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.2,2.833,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.5,2.974,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.8,3.12,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.1,3.277,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.4,3.444,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.7,3.634,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,3.849,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.3,4.086,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.7,4.318,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,4.525,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.4,4.686,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.8,4.805,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.2,4.888,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.6,4.941,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,4.977,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.5,4.999,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.9,5.012,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.4,5.02,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.9,5.021,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,5.02,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.9,5.018,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.4,5.015,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,5.01,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.5,5.009,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.1,5.01,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.7,5.009,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.3,5.012,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.9,5.016,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.5,5.021,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.2,5.029,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.9,5.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.6,5.052,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.3,5.065,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,5.079,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.7,5.095,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.5,5.115,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.3,5.134,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.1,5.156,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.9,5.179,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.8,5.204,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.6,5.231,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.5,5.261,0
